0.8796459,0.000#0.030#0.040#0.050#0.020#0.060#0.070#0.990#0.170#0.180#0.010#0.080#0.090#0.100#0.110#0.120#0.150#0.160#0.980#0.130#0.140#0.200#0.210#0.940#0.950#0.900#0.970#0.190#0.240#0.260#0.250#0.300#0.310#0.890#0.910#0.920#0.930#0.960#0.270#0.290#0.320#0.230#0.280#0.330#0.880#0.220#0.340#0.870#0.380#0.850#0.860#0.350#0.360#0.370#0.390#0.450#0.410#0.420#0.460#0.820#0.400#0.440#0.800#0.810#0.830#0.840#0.430#0.770#0.780#0.790#0.470#0.750#0.760#0.730#0.740#0.720#0.710#0.480#0.490#0.500#0.700#0.540#0.550,1.667e-02,-00000002,000000003,0,000000001,000000300,000000000,000000000
-84,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-58
-115,1,-9,1,-7,1,-6,1,-4,1,-1,1,1,-1,1,-1,1,1,2,1,1,1,3,1,2,-1,2,1,-3,2,-2,3,2,1,3,1,1,3,1,3,4,2,3,-1,1,2,2,2,1,1,3,3,3,1,4,1,1,2,5,2,-1,5,-1,2,5,5,-1,3,2,2,1,1,5,3,2,-1,2,2,1,-1,7,1,3,1,-1,1,-1,1,3,1,1,1,-1,1,-1,1,1,1,2,1,-2,1,1,1,1,-4,1,-2,1,-1,1,-4,1,1,-1,1,-2,3,-1,1,-1,1,-2,1,-27
-86,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,1,2,1,1,1,3,1,2,1,1,1,1,-2,1,1,-1,1,4,-1,1,4,-1,3,1,2,4,3,1,3,1,1,3,-1,2,1,2,4,2,3,1,3,2,2,3,3,1,-1,5,1,2,7,2,1,4,-1,3,-1,2,4,5,-2,4,-1,1,4,3,4,-1,1,-1,1,-1,1,3,1,2,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,1,2,-1,1,-1,1,-2,1,-56
-114,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-28
-115,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,2,1,1,1,1,4,-1,2,1,1,1,1,-2,1,1,-1,1,4,-1,2,3,-1,3,1,3,3,3,3,1,1,1,3,2,-1,1,2,5,2,2,2,2,2,2,3,3,1,1,4,2,1,8,1,2,3,1,2,-1,4,3,4,-1,1,3,1,-1,5,2,4,-1,1,1,-2,2,2,2,1,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,2,1,1,-2,1,-2,1,-27
-84,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-58
-85,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,2,1,1,1,1,4,-1,2,1,1,1,1,-2,1,1,-1,1,4,-1,2,3,-1,3,1,3,3,3,3,1,1,1,3,2,-1,1,2,5,2,2,2,2,2,2,3,3,1,1,4,2,1,8,1,2,3,1,2,-1,4,3,4,-1,1,3,1,-1,5,2,4,-1,1,1,-2,2,2,2,1,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,2,1,1,-2,1,-2,1,-57
-85,1,-9,1,-7,1,-6,1,-4,1,-1,1,1,-1,1,-1,1,1,2,1,1,1,3,1,2,-1,2,1,-3,2,-2,3,2,1,3,1,1,3,1,3,4,2,3,-1,1,2,2,2,1,1,3,3,3,1,4,1,1,2,5,2,-1,5,-1,2,5,5,-1,3,2,2,1,1,5,3,2,-1,2,2,1,-1,7,1,3,1,-1,1,-1,1,3,1,1,1,-1,1,-1,1,1,1,2,1,-2,1,1,1,1,-4,1,-2,1,-1,1,-4,1,1,-1,1,-2,3,-1,1,-1,1,-2,1,-57
-87,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-55
-90,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-52
-88,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,2,1,1,1,1,4,-1,2,1,1,1,1,-2,1,1,-1,1,4,-1,2,3,-1,3,1,3,3,3,3,1,1,1,3,2,-1,1,2,5,2,2,2,2,2,2,3,3,1,1,4,2,1,8,1,2,3,1,2,-1,4,3,4,-1,1,3,1,-1,5,2,4,-1,1,1,-2,2,2,2,1,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,2,1,1,-2,1,-2,1,-54
-88,1,-9,1,-7,1,-6,1,-4,1,-1,1,1,-1,1,-1,1,1,2,1,1,1,3,1,2,-1,2,1,-3,2,-2,3,2,1,3,1,1,3,1,3,4,2,3,-1,1,2,2,2,1,1,3,3,3,1,4,1,1,2,5,2,-1,5,-1,2,5,5,-1,3,2,2,1,1,5,3,2,-1,2,2,1,-1,7,1,3,1,-1,1,-1,1,3,1,1,1,-1,1,-1,1,1,1,2,1,-2,1,1,1,1,-4,1,-2,1,-1,1,-4,1,1,-1,1,-2,3,-1,1,-1,1,-2,1,-54
-91,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,2,1,1,1,1,4,-1,2,1,1,1,1,-2,1,1,-1,1,4,-1,2,3,-1,3,1,3,3,3,3,1,1,1,3,2,-1,1,2,5,2,2,2,2,2,2,3,3,1,1,4,2,1,8,1,2,3,1,2,-1,4,3,4,-1,1,3,1,-1,5,2,4,-1,1,1,-2,2,2,2,1,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,2,1,1,-2,1,-2,1,-51
-112,1,-9,1,-7,1,-6,1,-4,1,-1,1,1,-1,1,-1,1,1,2,1,1,1,3,1,2,-1,2,1,-3,2,-2,3,2,1,3,1,1,3,1,3,4,2,3,-1,1,2,2,2,1,1,3,3,3,1,4,1,1,2,5,2,-1,5,-1,2,5,5,-1,3,2,2,1,1,5,3,2,-1,2,2,1,-1,7,1,3,1,-1,1,-1,1,3,1,1,1,-1,1,-1,1,1,1,2,1,-2,1,1,1,1,-4,1,-2,1,-1,1,-4,1,1,-1,1,-2,3,-1,1,-1,1,-2,1,-30
-87,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-55
-90,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-52
-111,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-31
-112,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,2,1,1,1,1,4,-1,2,1,1,1,1,-2,1,1,-1,1,4,-1,2,3,-1,3,1,3,3,3,3,1,1,1,3,2,-1,1,2,5,2,2,2,2,2,2,3,3,1,1,4,2,1,8,1,2,3,1,2,-1,4,3,4,-1,1,3,1,-1,5,2,4,-1,1,1,-2,2,2,2,1,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,2,1,1,-2,1,-2,1,-30
-113,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,1,2,1,1,1,3,1,2,1,1,1,1,-2,1,1,-1,1,4,-1,1,4,-1,3,1,2,4,3,1,3,1,1,3,-1,2,1,2,4,2,3,1,3,2,2,3,3,1,-1,5,1,2,7,2,1,4,-1,3,-1,2,4,5,-2,4,-1,1,4,3,4,-1,1,-1,1,-1,1,3,1,2,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,1,2,-1,1,-1,1,-2,1,-29
-114,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-28
-89,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,1,2,1,1,1,3,1,2,1,1,1,1,-2,1,1,-1,1,4,-1,1,4,-1,3,1,2,4,3,1,3,1,1,3,-1,2,1,2,4,2,3,1,3,2,2,3,3,1,-1,5,1,2,7,2,1,4,-1,3,-1,2,4,5,-2,4,-1,1,4,3,4,-1,1,-1,1,-1,1,3,1,2,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,1,2,-1,1,-1,1,-2,1,-53
-109,1,-9,1,-7,1,-6,1,-4,1,-1,1,1,-1,1,-1,1,1,2,1,1,1,3,1,2,-1,2,1,-3,2,-2,3,2,1,3,1,1,3,1,3,4,2,3,-1,1,2,2,2,1,1,3,3,3,1,4,1,1,2,5,2,-1,5,-1,2,5,5,-1,3,2,2,1,1,5,3,2,-1,2,2,1,-1,7,1,3,1,-1,1,-1,1,3,1,1,1,-1,1,-1,1,1,1,2,1,-2,1,1,1,1,-4,1,-2,1,-1,1,-4,1,1,-1,1,-2,3,-1,1,-1,1,-2,1,-33
-110,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,1,2,1,1,1,3,1,2,1,1,1,1,-2,1,1,-1,1,4,-1,1,4,-1,3,1,2,4,3,1,3,1,1,3,-1,2,1,2,4,2,3,1,3,2,2,3,3,1,-1,5,1,2,7,2,1,4,-1,3,-1,2,4,5,-2,4,-1,1,4,3,4,-1,1,-1,1,-1,1,3,1,2,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,1,2,-1,1,-1,1,-2,1,-32
-111,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-31
-91,1,-9,1,-7,1,-6,1,-4,1,-1,1,1,-1,1,-1,1,1,2,1,1,1,3,1,2,-1,2,1,-3,2,-2,3,2,1,3,1,1,3,1,3,4,2,3,-1,1,2,2,2,1,1,3,3,3,1,4,1,1,2,5,2,-1,5,-1,2,5,5,-1,3,2,2,1,1,5,3,2,-1,2,2,1,-1,7,1,3,1,-1,1,-1,1,3,1,1,1,-1,1,-1,1,1,1,2,1,-2,1,1,1,1,-4,1,-2,1,-1,1,-4,1,1,-1,1,-2,3,-1,1,-1,1,-2,1,-51
-108,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-34
-109,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,2,1,1,1,1,4,-1,2,1,1,1,1,-2,1,1,-1,1,4,-1,2,3,-1,3,1,3,3,3,3,1,1,1,3,2,-1,1,2,5,2,2,2,2,2,2,3,3,1,1,4,2,1,8,1,2,3,1,2,-1,4,3,4,-1,1,3,1,-1,5,2,4,-1,1,1,-2,2,2,2,1,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,2,1,1,-2,1,-2,1,-33
-107,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,1,2,1,1,1,3,1,2,1,1,1,1,-2,1,1,-1,1,4,-1,1,4,-1,3,1,2,4,3,1,3,1,1,3,-1,2,1,2,4,2,3,1,3,2,2,3,3,1,-1,5,1,2,7,2,1,4,-1,3,-1,2,4,5,-2,4,-1,1,4,3,4,-1,1,-1,1,-1,1,3,1,2,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,1,2,-1,1,-1,1,-2,1,-35
-108,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-34
-106,1,-9,1,-7,1,-6,1,-4,1,-1,1,1,-1,1,-1,1,1,2,1,1,1,3,1,2,-1,2,1,-3,2,-2,3,2,1,3,1,1,3,1,3,4,2,3,-1,1,2,2,2,1,1,3,3,3,1,4,1,1,2,5,2,-1,5,-1,2,5,5,-1,3,2,2,1,1,5,3,2,-1,2,2,1,-1,7,1,3,1,-1,1,-1,1,3,1,1,1,-1,1,-1,1,1,1,2,1,-2,1,1,1,1,-4,1,-2,1,-1,1,-4,1,1,-1,1,-2,3,-1,1,-1,1,-2,1,-36
-106,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,2,1,1,1,1,4,-1,2,1,1,1,1,-2,1,1,-1,1,4,-1,2,3,-1,3,1,3,3,3,3,1,1,1,3,2,-1,1,2,5,2,2,2,2,2,2,3,3,1,1,4,2,1,8,1,2,3,1,2,-1,4,3,4,-1,1,3,1,-1,5,2,4,-1,1,1,-2,2,2,2,1,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,2,1,1,-2,1,-2,1,-36
-92,1,-8,1,-8,1,-6,1,-4,1,1,1,-2,1,-1,1,2,1,1,1,3,1,2,1,1,1,1,-2,1,1,-1,1,4,-1,1,4,-1,3,1,2,4,3,1,3,1,1,3,-1,2,1,2,4,2,3,1,3,2,2,3,3,1,-1,5,1,2,7,2,1,4,-1,3,-1,2,4,5,-2,4,-1,1,4,3,4,-1,1,-1,1,-1,1,3,1,2,-1,1,-2,2,-1,1,3,-2,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-1,1,2,-1,1,-1,1,-2,1,-50
-93,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-49
-93,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-49
-105,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-37
-96,1,-8,1,-7,1,-6,1,-5,1,1,1,-2,1,-1,2,1,2,-1,1,4,-1,3,-1,1,2,-3,2,-2,2,3,-1,3,2,-1,4,-1,3,4,2,4,-1,1,2,2,2,1,-1,4,3,3,1,3,1,2,2,4,3,-1,5,-1,2,4,6,-1,3,2,2,1,1,3,4,3,-1,1,3,1,-1,7,-1,4,1,-1,1,-2,3,2,1,1,-1,1,-1,1,1,-1,2,2,-2,1,-1,1,1,1,-4,1,-1,1,-1,1,-4,1,1,-2,1,-1,2,1,1,-1,1,-3,1,-46
-96,1,-9,1,-7,1,-6,1,-4,1,-1,2,-2,1,-1,1,1,2,1,1,2,2,2,1,-1,2,1,-2,1,1,-2,3,2,1,3,1,1,3,1,5,2,2,3,1,1,3,-1,2,1,1,4,2,3,2,3,2,1,3,3,2,-1,5,1,1,5,5,1,3,1,3,-1,1,5,3,2,-1,2,2,1,3,4,3,1,1,-1,1,-1,1,3,1,2,-2,1,-1,2,-1,1,2,1,-1,1,-1,1,1,1,-4,1,-2,1,-1,1,-3,1,1,-2,1,-2,3,-1,1,-1,1,-2,1,-46
