0.0000000,0.000#0.500#0.750#0.810#0.820#0.830#0.480#0.490#0.530#0.540#0.550#0.560#0.570#0.740#0.760#0.880#0.890#0.510#0.520#0.780#0.800#0.840#0.870#0.900#0.910#0.920#0.930#0.370#0.410#0.470#0.790#0.210#0.220#0.230#0.690#0.700#0.710#0.720#0.770#0.430#0.580#0.190#0.240#0.010#0.060#0.280#0.290#0.360#0.380#0.390#0.400#0.420#0.590#0.610#0.030#0.040#0.070#0.100#0.140#0.150#0.160#0.200#0.250#0.300#0.350#0.440#0.450#0.460#0.620#0.630#0.670#0.020#0.050#0.120#0.130#0.170#0.180#0.260#0.310#0.320#0.330#0.340#0.600,1.250e-01,-00000017,000000021,0,000000001,000000304,000000000,000000000
-76,1,-12,1,-3,1,-1,2,-1,1,1,2,-3,1,-1,2,-2,1,-1,4,3,1,2,2,3,3,1,2,4,4,1,5,2,3,2,2,1,1,5,6,2,2,1,5,5,4,-1,3,4,2,4,5,2,3,5,3,2,3,2,2,1,3,4,5,3,1,3,4,1,1,1,4,1,-2,1,5,1,1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,1,1,-110
-76,1,-13,1,-3,1,-1,2,-1,1,1,2,-2,1,-2,2,-2,1,2,2,4,-1,2,3,2,3,1,3,5,2,2,4,2,5,1,1,2,-1,8,3,3,1,1,8,2,4,-1,4,3,2,6,5,-1,4,4,3,3,4,-1,2,2,2,6,3,3,3,3,2,1,1,2,3,1,-1,1,1,4,2,-1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,2,-110
-76,1,-13,1,-3,1,-1,2,-1,1,1,2,-2,1,-2,2,-2,1,2,2,3,1,2,3,2,3,1,3,4,3,2,4,2,5,-1,2,2,-1,6,5,3,1,1,8,2,4,-1,4,3,2,6,5,-1,4,4,3,3,4,-1,2,2,2,6,3,3,3,3,2,1,1,2,3,1,-1,1,1,4,1,1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,2,-110
-76,1,-13,1,-3,1,-1,2,-1,1,1,2,-3,1,-1,2,-2,1,1,3,3,1,2,3,2,3,1,3,4,3,2,4,2,4,1,2,2,-1,6,5,3,1,1,8,2,4,-1,4,3,2,5,4,2,3,5,3,2,4,1,2,2,2,4,5,3,3,2,3,1,1,2,3,1,-1,1,-1,5,1,1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,1,1,-109
-78,1,-12,1,-4,1,2,-1,1,1,2,-3,1,-1,1,1,-1,1,-1,3,4,1,2,2,3,2,1,3,3,5,1,5,2,2,3,2,1,1,4,7,-1,4,-1,3,7,4,1,3,3,2,5,5,2,3,3,5,2,3,2,2,1,3,4,5,2,2,3,4,1,1,-1,5,-1,1,-1,1,4,2,1,1,-1,1,1,-1,1,-2,1,1,-5,1,-5,2,1,1,-108
-78,1,-12,1,-4,1,1,1,1,1,2,-3,1,-1,1,1,-1,1,-1,2,3,3,2,2,3,1,2,3,2,6,-1,6,2,1,4,2,1,1,2,8,1,4,-1,3,7,4,1,3,2,3,5,5,2,3,3,5,2,3,2,2,1,3,3,5,3,2,3,3,2,1,-1,4,1,1,-1,1,4,2,1,1,-1,1,1,-1,1,-2,1,1,-5,1,-5,2,1,1,-108
-78,1,-13,1,-3,1,1,1,1,1,-1,2,-2,1,-2,2,-2,1,2,2,4,1,2,3,1,3,2,2,5,2,4,2,3,4,2,-1,2,1,8,2,3,1,2,8,2,3,1,4,2,3,5,5,-1,6,2,4,2,4,-1,2,2,3,7,1,4,2,3,3,1,-1,3,2,1,-1,1,3,2,2,-1,1,-1,2,-1,1,-3,1,1,-4,1,-5,1,1,2,-108
-73,1,-12,1,-4,1,1,1,1,1,2,-3,1,-2,2,-1,1,-1,2,3,3,2,2,2,2,2,2,3,5,1,6,1,2,4,2,1,1,1,8,2,3,1,3,7,3,2,3,2,3,2,7,3,2,4,3,4,1,4,2,1,1,3,7,2,3,3,3,2,1,-1,4,1,1,-1,1,3,2,2,-1,1,1,1,-1,1,-3,2,-5,1,-5,1,1,2,-113
-73,1,-13,1,-3,1,1,1,1,1,-1,2,-2,1,-2,2,-2,1,2,2,4,1,1,3,2,3,2,2,5,2,3,3,3,4,2,-1,2,1,8,2,3,1,1,9,1,4,1,3,3,3,5,5,-1,6,2,4,2,4,-1,2,2,3,7,1,4,2,3,3,1,-1,2,3,1,-1,1,2,3,2,-1,1,-1,1,1,1,-3,1,1,-4,1,-5,1,1,2,-113
-74,1,-12,1,-4,1,2,-1,1,1,2,-3,1,-1,1,1,-1,1,-1,3,4,1,2,2,3,2,1,3,3,5,1,5,2,2,3,2,1,1,4,7,-1,4,-1,3,7,4,1,3,3,2,5,5,2,3,3,5,2,3,2,2,1,3,4,5,2,2,3,4,1,1,-1,5,-1,1,-1,1,4,2,1,1,-1,1,1,-1,1,-2,1,1,-5,1,-5,2,1,1,-112
-74,1,-12,1,-4,1,1,1,1,1,2,-3,1,-1,1,1,-1,1,-1,2,3,3,2,2,3,1,2,3,2,6,-1,6,2,1,4,2,1,1,2,8,1,4,-1,3,7,4,1,3,2,3,5,5,2,3,3,5,2,3,2,2,1,3,3,5,3,2,3,3,2,1,-1,4,1,1,-1,1,4,2,1,1,-1,1,1,-1,1,-2,1,1,-5,1,-5,2,1,1,-112
-74,1,-13,1,-3,1,1,1,1,1,-1,2,-2,1,-2,2,-2,1,2,2,4,1,2,3,1,3,2,2,5,2,4,2,3,4,2,-1,2,1,8,2,3,1,2,8,2,3,1,4,2,3,5,5,-1,6,2,4,2,4,-1,2,2,3,7,1,4,2,3,3,1,-1,3,2,1,-1,1,3,2,2,-1,1,-1,2,-1,1,-3,1,1,-4,1,-5,1,1,2,-112
-74,1,-13,1,-3,1,1,1,1,1,-1,2,-2,1,-2,2,-2,1,2,2,4,-1,2,3,2,3,1,3,5,2,2,4,2,5,2,-1,2,1,8,2,3,1,1,8,2,4,1,3,3,3,5,5,-1,5,3,4,2,4,-1,2,2,3,6,2,4,2,3,3,1,-1,2,3,1,-1,1,2,3,2,-1,1,-1,1,1,-1,1,-2,1,1,-4,1,-5,1,1,2,-112
-75,1,-12,1,-4,1,1,1,1,1,2,-3,1,-2,2,-1,1,-1,2,3,3,2,2,3,1,2,3,2,6,-1,6,2,1,4,2,1,1,2,8,1,4,-1,3,7,4,1,3,2,3,5,5,2,3,3,4,3,3,2,2,1,2,3,6,3,2,3,3,2,1,-1,4,1,1,-1,1,3,2,2,1,-1,1,1,-1,1,-2,1,1,-5,1,-5,2,-1,2,-111
-75,1,-13,1,-3,1,1,1,-1,2,-1,2,-2,1,-2,2,-2,1,2,2,4,-1,2,3,2,3,1,3,5,2,2,4,2,5,1,1,2,1,8,2,3,1,1,8,2,4,1,3,3,3,5,5,-1,4,4,3,3,4,-1,2,2,2,7,2,3,3,3,2,1,1,2,3,1,-1,1,1,4,2,-1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,2,-111
-75,1,-13,1,-3,1,-1,2,-1,1,1,2,-2,1,-2,2,-2,1,2,2,3,1,2,3,2,3,1,3,4,3,2,4,2,5,1,1,2,-1,7,4,3,1,1,8,2,4,-1,4,3,2,6,5,-1,4,4,3,3,4,-1,2,2,2,6,3,3,3,3,2,1,1,2,3,1,-1,1,1,4,2,-1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,2,-111
-75,1,-13,1,-3,1,-1,2,-1,1,1,2,-2,1,-2,2,-2,1,1,3,3,1,2,3,2,3,1,3,4,3,2,4,2,5,-1,2,2,-1,6,5,3,1,1,8,2,4,-1,4,3,2,5,4,2,3,5,3,3,4,-1,2,2,2,5,4,3,3,3,2,1,1,2,3,1,-1,1,1,4,1,1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,1,1,-110
-75,1,-13,1,-3,1,-1,2,-1,1,1,2,-3,1,-1,2,-2,1,1,3,3,1,2,3,2,3,1,3,4,3,2,4,2,4,1,2,2,-1,6,5,2,2,1,6,4,4,-1,4,3,2,5,4,2,3,5,3,2,3,2,2,2,2,4,5,3,3,2,3,1,1,2,3,1,-1,1,-1,5,1,1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,1,1,-110
-78,1,-12,1,-3,1,-1,2,-1,1,1,2,-3,1,-1,2,-2,1,-1,4,3,1,2,2,3,3,1,2,4,4,1,5,2,3,2,2,1,1,5,6,2,2,1,5,5,4,-1,3,4,2,4,5,2,3,5,3,2,3,2,2,1,3,4,5,3,1,3,4,1,1,1,4,1,-2,1,5,1,1,1,-1,1,1,-1,1,-2,1,1,-4,1,-6,2,1,1,-108
