0.0000000,0.000#0.180#0.120#0.140#0.130#0.090#0.100#0.110#0.240#0.260#0.210#0.220#0.980#0.990#0.080#0.050#0.070#0.010#0.040#0.750#0.060#0.710#0.720#0.020#0.030#0.740#0.760#0.970#0.770#0.380#0.690#0.700#0.730#0.900#0.340#0.400#0.450#0.600#0.880#0.960#0.370#0.530#0.540#0.670,1.250e-01,-00000020,000000022,0,000000001,000000336,000000000,000000000
-54,1,1,-3,1,-7,1,-2,1,-4,1,-4,1,-1,1,4,-2,1,-1,2,1,1,1,-1,1,1,-1,2,4,-1,2,5,-2,3,2,-1,6,2,2,1,3,2,2,2,3,1,2,2,5,1,-1,5,2,6,7,1,5,7,3,5,4,2,2,4,5,1,5,4,4,2,2,1,5,4,2,5,7,3,3,4,6,5,4,8,4,6,6,2,6,7,6,8,5,4,8,9,7,3,9,6,4,11,5,8,5,5,1,2,4,9,4,1,7,1,5,3,2,3,2,4,2,4,7,7,4,7,5,1,5,10,3,5,8,4,7,3,5,3,2,-1,3,1,2,2,6,2,1,2,2,8,3,2,5,2,1,4,1,1,-1,4,3,3,1,2,1,2,-2,1,-1,1,1,3,1,2,-1,1,1,1,3,2,2,1,-7,1,1,1,-4,1,-3,1,-9,1,-9,1,-44
-55,1,1,-4,1,-6,1,-2,1,-5,1,-4,1,-1,4,1,-1,1,-1,1,1,2,1,-1,1,1,-2,4,2,1,3,3,-1,2,3,-1,4,3,1,3,1,3,2,3,-1,4,1,3,3,3,-1,3,3,4,8,2,4,7,4,4,4,3,3,4,4,2,3,6,2,2,4,-1,4,6,-1,3,9,3,4,4,4,6,6,3,9,4,6,4,4,7,6,10,3,6,5,11,6,5,4,10,2,9,7,8,5,5,4,2,2,6,8,1,5,4,3,3,3,3,3,3,1,6,7,4,4,7,5,4,4,6,7,4,4,9,8,-1,6,5,2,-1,3,1,2,2,4,4,1,1,3,6,4,2,6,1,1,4,2,-1,1,4,1,3,3,1,2,2,-2,1,-2,1,3,2,-1,2,-1,1,2,3,1,3,-1,1,-7,2,-1,1,-4,1,-3,1,-8,1,-10,1,-42
-51,2,-4,1,-7,1,-2,1,-4,1,-4,1,-1,1,4,-2,1,-1,2,1,1,1,-1,1,1,-1,3,3,1,1,5,-2,3,2,-1,6,2,3,-1,3,2,3,1,4,-1,3,3,4,-1,2,4,2,5,7,1,6,7,3,5,4,1,2,5,4,1,6,3,4,2,2,1,6,3,2,5,8,3,3,5,5,5,4,7,5,7,4,2,6,9,6,6,7,5,8,8,7,1,12,4,4,10,8,5,6,4,2,2,3,9,4,2,6,1,5,3,3,2,3,3,3,6,4,7,5,7,4,2,4,12,1,6,8,3,7,3,5,3,2,1,3,-1,2,3,6,1,1,2,3,7,3,3,4,2,2,3,1,1,-1,4,3,3,2,1,3,-3,1,-1,1,1,3,1,2,-1,1,1,2,2,2,2,1,-7,1,1,1,-4,1,-3,1,-9,1,-9,1,-47
-51,1,1,-4,1,-6,1,-2,1,-5,1,-4,1,-1,4,1,-1,1,-1,1,1,2,1,-1,1,1,-2,4,2,1,3,3,-1,2,3,-1,4,3,1,3,1,3,2,3,-1,4,1,3,3,3,-1,3,3,4,8,2,4,7,4,4,4,3,3,4,4,2,3,6,2,2,4,-1,4,6,-1,3,9,3,4,4,4,6,6,3,9,4,6,4,4,7,6,10,3,6,5,11,6,5,4,10,2,9,7,8,5,5,4,2,2,6,8,1,5,4,3,3,3,3,3,3,1,6,7,4,4,7,5,4,4,6,7,4,4,9,8,-1,6,5,2,-1,3,1,2,2,4,4,1,1,3,6,4,2,6,1,1,4,2,-1,1,4,1,3,3,1,2,2,-2,1,-2,1,3,2,-1,2,-1,1,2,3,1,3,-1,1,-7,2,-1,1,-4,1,-3,1,-8,1,-10,1,-46
-51,1,1,-4,1,-7,1,-2,1,-4,1,-4,1,-1,3,2,-1,1,-1,1,1,1,1,1,-1,1,1,-1,3,3,1,1,5,-1,1,2,2,-1,6,2,3,-1,3,2,3,1,4,-1,4,2,4,-1,2,4,3,4,7,1,8,6,2,6,3,1,3,5,3,2,6,2,4,3,1,2,6,2,2,7,6,3,4,4,5,6,3,8,5,6,5,1,6,10,6,6,7,6,7,9,5,4,10,3,4,10,8,5,6,4,2,2,5,7,4,2,6,1,5,3,3,4,2,2,3,6,5,7,5,6,5,1,7,9,1,6,8,3,7,3,6,4,-1,2,2,-1,3,2,6,1,1,2,5,5,3,3,4,2,3,2,1,1,1,4,2,3,2,1,3,-3,1,-1,1,2,2,1,2,-1,1,2,1,3,1,2,1,-7,1,1,1,-4,1,-3,1,-9,1,-9,1,-46
-53,2,-4,1,-7,1,-2,1,-4,1,-4,1,-1,1,4,-2,1,-1,2,1,1,1,-1,1,1,-1,3,3,1,1,5,-2,3,2,-1,6,2,2,1,3,2,3,1,3,1,2,2,5,1,-1,6,1,6,7,1,5,7,3,5,5,1,2,5,4,1,5,4,4,2,2,1,5,4,2,5,7,3,4,3,6,5,4,8,5,7,4,2,6,8,6,7,6,3,8,9,7,3,10,5,5,10,6,7,5,5,2,1,4,9,4,1,7,1,5,3,2,3,2,4,2,4,7,7,4,7,5,1,5,11,2,5,8,4,7,3,5,3,2,-1,3,1,2,3,5,2,1,2,2,8,3,3,4,2,1,4,1,1,-1,4,3,3,1,2,1,2,-2,1,-1,1,1,3,1,2,-1,1,1,1,3,2,2,1,-7,1,1,1,-4,1,-3,1,-9,1,-9,1,-45
-55,1,1,-4,1,-6,1,-2,1,-5,1,-4,1,1,3,1,-1,1,-1,1,1,2,1,-1,1,1,-2,5,1,1,4,2,-1,2,3,-1,5,2,1,3,1,3,2,3,-1,4,1,3,4,2,-1,4,3,3,9,2,3,8,3,5,3,3,3,4,4,2,5,4,3,2,3,1,4,5,1,5,7,3,3,4,5,6,5,5,7,5,6,3,5,7,6,9,4,5,6,11,5,5,7,7,3,10,5,11,3,6,2,2,3,7,6,1,6,3,4,3,3,2,3,3,1,6,7,6,3,8,5,2,4,8,6,4,5,8,7,2,6,3,2,-1,3,1,2,2,5,3,1,1,3,7,4,2,5,2,-1,4,2,1,-1,4,2,3,2,2,1,2,-2,1,-1,1,1,2,2,1,1,-1,1,2,3,1,3,-1,1,-7,2,1,-4,1,-3,1,-9,1,-10,1,-42
-56,2,-4,1,-7,1,-2,1,-4,1,-4,1,-1,2,3,-1,1,-2,2,1,1,1,-1,1,1,-1,3,3,1,1,5,-2,3,2,-1,6,2,3,-1,3,2,3,1,4,-1,4,2,4,-1,2,4,2,5,7,1,7,6,3,5,4,1,2,5,4,2,5,3,4,2,2,2,5,3,2,6,7,3,4,4,5,5,4,8,4,7,4,2,6,10,5,7,6,5,9,7,7,3,10,4,4,10,8,5,6,4,2,2,4,8,4,2,6,1,5,3,3,3,3,2,3,6,4,8,4,7,4,2,4,12,1,6,8,3,7,3,5,5,-1,1,3,-1,3,2,6,1,1,2,4,6,3,3,4,2,3,2,1,1,-1,4,3,3,2,1,3,-3,1,-1,1,1,3,1,2,-1,1,1,2,3,1,2,1,-7,1,1,1,-4,1,-3,1,-9,1,-9,1,-42
-51,1,1,-4,1,-6,1,-2,1,-4,1,-5,1,1,3,1,-1,1,-1,1,1,2,1,-1,1,1,-2,6,-1,2,3,2,-1,3,2,-1,5,2,2,2,1,4,1,3,1,3,1,3,5,1,-1,4,3,4,9,1,4,7,3,5,3,4,2,4,4,2,5,4,3,2,3,1,4,5,2,5,7,3,2,5,5,6,4,7,5,5,6,3,5,8,6,8,4,5,7,10,6,4,7,7,4,10,5,10,4,5,2,2,4,8,4,2,6,2,4,4,2,3,2,3,2,5,7,7,4,6,5,2,4,8,6,4,6,7,7,2,6,3,2,-1,3,1,2,2,5,3,1,1,3,8,3,2,5,2,-1,4,2,1,-1,4,2,3,2,2,1,2,-2,1,-1,1,1,2,2,1,1,1,-1,2,3,1,3,1,-7,1,1,1,-4,1,-3,1,-9,1,-10,1,-46
-52,1,1,-4,1,-6,1,-2,1,-5,1,-4,1,-1,4,1,-1,1,-1,1,1,2,1,-1,1,1,-2,4,2,1,3,3,-1,2,3,-1,3,4,1,3,1,3,2,3,-1,4,1,3,3,3,-1,2,4,4,7,3,4,7,4,4,4,3,3,4,4,2,3,6,1,3,4,-1,4,6,-1,3,9,3,4,4,3,7,6,3,9,4,6,4,3,7,7,10,3,6,5,11,6,5,4,10,2,7,9,8,5,5,3,3,1,7,8,1,5,4,3,3,3,3,3,3,1,5,7,5,4,7,5,4,4,6,7,3,5,9,8,-1,5,6,2,-1,3,1,2,1,5,4,-1,2,2,7,4,2,5,2,1,4,2,-1,1,3,2,3,3,1,2,2,-2,1,-2,1,3,2,-1,2,-1,1,2,3,1,3,-1,1,-7,2,-1,1,-4,1,-3,1,-8,1,-10,1,-45
-52,1,1,-4,1,-6,1,-2,1,-5,1,-4,1,-1,4,1,-1,1,-1,1,1,2,1,-1,1,1,-2,4,2,1,3,3,-1,2,3,-1,3,4,1,3,1,3,2,3,-1,4,1,3,2,4,-1,2,4,4,6,4,2,8,5,4,4,3,3,3,5,2,3,6,1,3,4,-1,4,5,1,3,8,4,4,4,3,7,6,3,8,5,6,4,3,7,7,8,5,6,5,9,7,6,3,11,2,7,8,8,5,6,3,3,1,7,7,2,5,4,3,2,3,3,4,2,2,3,7,7,4,7,5,4,3,6,8,2,5,10,6,2,5,5,3,-1,2,2,2,1,4,4,1,2,2,7,4,2,4,3,1,4,2,-1,1,2,3,2,4,1,2,2,-2,1,-2,1,2,3,-1,2,-1,1,2,3,1,3,-1,1,-7,2,-1,1,-4,1,-3,1,-8,1,-10,1,-45
-53,1,1,-4,1,-6,1,-2,1,-5,1,-4,1,-1,4,1,-1,1,-1,1,1,2,1,-1,1,1,-2,4,2,1,2,4,-1,2,3,-1,3,4,1,3,1,3,2,2,1,4,-1,4,2,4,-1,2,4,4,6,4,1,9,5,4,4,3,3,3,5,1,4,5,2,3,4,-1,3,6,1,3,8,4,4,4,3,7,6,3,8,5,6,4,3,7,7,6,6,6,6,8,8,6,3,11,2,6,9,8,4,6,4,2,2,6,8,2,5,4,3,2,3,3,4,2,2,3,7,7,4,6,6,4,3,6,8,2,5,9,7,2,5,5,3,-1,2,2,2,1,4,4,1,2,2,6,5,2,4,3,1,4,2,-1,1,2,3,2,4,1,2,2,-2,1,-2,1,2,3,-1,2,-1,1,2,3,1,3,-1,1,-7,2,-1,1,-4,1,-3,1,-9,1,-9,1,-44
