0.0000000,0.000#0.060#0.680#0.690#0.700#0.050#0.710#0.070#0.080#0.090#0.010#0.020#0.030#0.040#0.100#0.470#0.660#0.670#0.720#0.990#0.110#0.120#0.430#0.440#0.450#0.460#0.560#0.650#0.730#0.940#0.950#0.960#0.970#0.980#0.130#0.140#0.480#0.550#0.570#0.580#0.590#0.600#0.610#0.620#0.630#0.640#0.930#0.150#0.160#0.170#0.180#0.400#0.410#0.420#0.490#0.510#0.530#0.540#0.740#0.520#0.890#0.390#0.750#0.840#0.190#0.380#0.850#0.860#0.200#0.760#0.770#0.780#0.210#0.220#0.230#0.240#0.280#0.360#0.370#0.790#0.800#0.810#0.270#0.350#0.260#0.290#0.300#0.320#0.330,5.000e-02,-00000006,000000009,0,000000001,000000300,000000000,000000000
-27,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-14
-27,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-14
-27,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-13
-33,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-8
-17,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-23
-17,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-23
-18,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-23
-18,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-23
-22,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-18
-22,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-18
-23,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-18
-24,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-16
-24,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-16
-25,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-16
-25,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-15
-29,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-11
-25,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-16
-32,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-8
-22,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-18
-29,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-11
-31,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-9
-18,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-22
-22,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-19
-31,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-9
-31,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-9
-18,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-22
-29,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-11
-30,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-11
-30,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-11
-18,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-22
-19,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-22
-19,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-22
-19,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-21
-20,1,1,-1,1,-10,1,-9,2,-12,2,2,-1,1,2,-1,1,2,-4,1,-4,1,1,-3,1,-3,1,1,-1,1,3,-2,1,-1,2,-1,3,2,-1,1,-1,3,2,-1,2,1,-1,2,-4,4,1,-3,2,1,-2,5,-2,1,-1,1,2,-6,2,-1,1,1,1,2,2,-1,1,1,-2,2,-3,1,-1,4,1,-2,2,-1,1,-7,2,1,-1,1,1,2,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-4,1,-5,1,-3,1,-2,1,1,1,-3,1,1,-2,1,-2,1,-3,1,-4,1,-42,1,-21
-21,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-19
-22,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-19
-30,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-10
-30,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-10
-30,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-10
-20,1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,2,1,-4,1,-4,2,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,3,1,-3,3,-2,1,4,-1,1,-2,2,1,-5,2,-2,2,-1,3,1,1,-1,1,1,-2,2,-3,1,1,3,1,-1,1,1,1,-8,2,1,-1,1,2,1,1,1,-6,1,-2,1,-2,1,-5,1,1,-1,1,-1,1,-4,1,-4,1,-3,1,-3,1,2,-4,1,1,-1,1,-2,1,-4,1,-4,1,-42,1,-21
-21,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-19
-19,1,-1,1,-1,1,-10,1,-9,2,-12,3,1,-1,1,2,-1,3,-5,1,-3,1,1,-4,1,-3,1,1,-1,3,1,-1,1,-2,2,1,2,2,-1,1,1,3,1,1,1,1,1,1,-3,1,4,-4,3,-2,1,4,-1,1,-1,1,1,1,-5,2,-2,2,1,2,1,1,-1,1,1,-1,1,1,-3,1,2,3,-2,1,1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-2,1,-1,1,-6,1,1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-4,1,-4,1,-42,1,-21
-20,1,-1,1,1,-11,1,-8,2,-12,1,3,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,2,-2,3,1,-1,1,-1,2,-1,3,2,-1,1,-1,2,3,-1,2,-1,1,2,-4,3,2,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-1,1,1,1,2,1,1,1,1,-2,1,1,-2,1,-1,3,2,-2,2,-1,1,-7,1,1,1,-1,1,3,1,-1,1,-5,1,-2,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-20
-20,1,-1,1,-1,1,-10,1,-8,1,1,-12,4,-2,1,2,1,2,-5,1,-3,1,1,-3,1,-4,1,1,-1,3,1,-1,1,-1,1,1,3,-1,2,-1,1,2,2,1,1,1,1,2,-4,2,3,-3,1,2,-2,2,3,-1,1,-1,1,2,-6,2,-2,2,1,2,1,1,1,-1,1,-1,1,1,-3,1,2,3,-2,2,-1,1,-8,2,1,-1,1,3,1,-1,1,-6,1,-1,1,-2,1,-6,2,-1,1,-1,1,-5,1,-4,1,-3,1,-2,1,-1,2,-3,1,1,-2,1,-2,1,-3,1,-4,1,-43,1,-20
